comparison,level,metric,n_seed_pairs,mean_delta,std_delta,seed1_delta,seed2_delta,seed3_delta
fogaware_minus_baseline,clear,precision,3,-0.024666666666666653,0.012342339054382376,-0.03499999999999992,-0.028000000000000025,-0.01100000000000001
fogaware_minus_baseline,clear,recall,3,-0.023333333333333355,0.007023769168568499,-0.030000000000000027,-0.016000000000000014,-0.02400000000000002
fogaware_minus_baseline,clear,map50,3,-0.017999999999999978,0.007810249675906597,-0.026999999999999913,-0.013000000000000012,-0.014000000000000012
fogaware_minus_baseline,clear,map50_95,3,-0.051666666666666604,0.005507570547286107,-0.05799999999999994,-0.04899999999999993,-0.04799999999999993
fogaware_minus_baseline,fog_i00,precision,3,0.076,0.024758836806279896,0.05699999999999994,0.06700000000000006,0.10399999999999998
fogaware_minus_baseline,fog_i00,recall,3,0.11766666666666666,0.02510644007686742,0.139,0.08999999999999997,0.124
fogaware_minus_baseline,fog_i00,map50,3,0.09633333333333338,0.018770544300401416,0.10000000000000009,0.07600000000000007,0.11299999999999999
fogaware_minus_baseline,fog_i00,map50_95,3,0.123,0.01734935157289749,0.11399999999999999,0.11199999999999999,0.14300000000000002
fogaware_minus_baseline,fog_i01,precision,3,0.1356666666666667,0.030664855018951775,0.1070000000000001,0.132,0.16800000000000004
fogaware_minus_baseline,fog_i01,recall,3,0.2646666666666666,0.03900427327016017,0.2919999999999999,0.21999999999999997,0.2819999999999999
fogaware_minus_baseline,fog_i01,map50,3,0.22166666666666668,0.029535289626704726,0.21999999999999997,0.19300000000000006,0.252
fogaware_minus_baseline,fog_i01,map50_95,3,0.20366666666666666,0.01890326250501042,0.197,0.189,0.22499999999999998
fogaware_minus_baseline,fog_i02,precision,3,0.19966666666666674,0.030664855018951827,0.19000000000000006,0.17500000000000004,0.2340000000000001
fogaware_minus_baseline,fog_i02,recall,3,0.43333333333333335,0.02367136103677468,0.44699999999999995,0.40599999999999997,0.44700000000000006
fogaware_minus_baseline,fog_i02,map50,3,0.379,0.030199337741083025,0.383,0.347,0.40700000000000003
fogaware_minus_baseline,fog_i02,map50_95,3,0.2753333333333334,0.013576941236277546,0.277,0.261,0.28800000000000003
fogaware_minus_baseline,fog_i03,precision,3,0.5803333333333334,0.025501633934580242,0.555,0.5800000000000001,0.6060000000000001
fogaware_minus_baseline,fog_i03,recall,3,0.42733333333333334,0.030989245446337237,0.461,0.4,0.42100000000000004
fogaware_minus_baseline,fog_i03,map50,3,0.5236666666666666,0.013428824718989072,0.518,0.514,0.5389999999999999
fogaware_minus_baseline,fog_i03,map50_95,3,0.31433333333333335,0.0032145502536643214,0.312,0.313,0.318
fogaware_minus_baseline,fog_i04,precision,3,0.5800000000000001,0.034044089061098425,0.543,0.587,0.6100000000000001
fogaware_minus_baseline,fog_i04,recall,3,0.5726666666666668,0.0061101009266077925,0.5780000000000001,0.5660000000000001,0.5740000000000001
fogaware_minus_baseline,fog_i04,map50,3,0.6,0.019157244060668033,0.578,0.609,0.613
fogaware_minus_baseline,fog_i04,map50_95,3,0.3199,0.00520288381573141,0.3146,0.32499999999999996,0.32010000000000005
fogaware_minus_baseline,fog_i05,precision,3,0.611,0.03117691453623982,0.575,0.629,0.629
fogaware_minus_baseline,fog_i05,recall,3,0.6265333333333333,0.0047056703383612924,0.6293,0.6292,0.6211
fogaware_minus_baseline,fog_i05,map50,3,0.6243333333333333,0.01975685535031661,0.603,0.642,0.628
fogaware_minus_baseline,fog_i05,map50_95,3,0.29946666666666666,0.008251262529657688,0.2913,0.30779999999999996,0.2993
fogaware_minus_baseline,fog_i06,precision,3,0.6246666666666667,0.013316656236958723,0.6100000000000001,0.636,0.6279999999999999
fogaware_minus_baseline,fog_i06,recall,3,0.6111333333333334,0.011836102962264783,0.6218,0.6132000000000001,0.5984
fogaware_minus_baseline,fog_i06,map50,3,0.5995333333333333,0.008405553719614958,0.598,0.6085999999999999,0.592
fogaware_minus_baseline,fog_i06,map50_95,3,0.2667333333333333,0.005537448269133847,0.2647,0.273,0.2625
fogaware_minus_baseline,fog_i07,precision,3,0.595,0.01852025917745215,0.581,0.616,0.588
fogaware_minus_baseline,fog_i07,recall,3,0.5107666666666667,0.003189566323708188,0.5129,0.5123,0.5071
fogaware_minus_baseline,fog_i07,map50,3,0.48413333333333336,0.008922630404389379,0.481,0.4942000000000001,0.47720000000000007
fogaware_minus_baseline,fog_i07,map50_95,3,0.2052,0.005538050198400154,0.2011,0.2115,0.20299999999999999
fogaware_minus_baseline,fog_i08,precision,3,0.5318666666666667,0.026684327485123786,0.524,0.5616,0.51
fogaware_minus_baseline,fog_i08,recall,3,0.38356666666666667,0.003611555528208486,0.387,0.3839,0.3798
fogaware_minus_baseline,fog_i08,map50,3,0.3378,0.013550276749941288,0.3379,0.3513,0.32420000000000004
fogaware_minus_baseline,fog_i08,map50_95,3,0.1353,0.005768882040742375,0.1337,0.1417,0.1305
fogaware_minus_baseline,fog_i09,precision,3,0.43163333333333337,0.018027016761886432,0.43410000000000004,0.44830000000000003,0.4125
fogaware_minus_baseline,fog_i09,recall,3,0.24098666666666668,0.004706010341396772,0.24306,0.24430000000000002,0.2356
fogaware_minus_baseline,fog_i09,map50,3,0.1892,0.01041297267834694,0.1886,0.1999,0.1791
fogaware_minus_baseline,fog_i09,map50_95,3,0.07076666666666666,0.0038656607887052525,0.06899999999999999,0.07519999999999999,0.0681
