fog_level,beta,P,R,F1,mAP@0.5,mAP@0.5:0.95,log_file
0,0.05,0.918,0.847,0.8811,0.901,0.492,yolov5_val_uniform_24223884.err
1,0.06,0.912,0.835,0.8718,0.89,0.471,yolov5_val_uniform_24223884.err
2,0.07,0.897,0.803,0.8474,0.866,0.431,yolov5_val_uniform_24223884.err
3,0.08,0.874,0.75,0.8073,0.822,0.384,yolov5_val_uniform_24223884.err
4,0.09,0.853,0.672,0.7518,0.771,0.343,yolov5_val_uniform_24223884.err
5,0.1,0.79,0.564,0.6581,0.673,0.285,yolov5_val_uniform_24223884.err
6,0.11,0.78,0.457,0.5763,0.594,0.248,yolov5_val_uniform_24223884.err
7,0.12,0.696,0.358,0.4728,0.481,0.19,yolov5_val_uniform_24223884.err
8,0.13,0.329,0.43,0.3728,0.386,0.148,yolov5_val_uniform_24223884.err
9,0.14,0.353,0.308,0.329,0.297,0.114,yolov5_val_uniform_24223884.err
